学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023042346,男,人工智能,17.31,0.98,56.66,0.89,69.8
2023042347,女,人工智能,15.52,0.79,65.42,0.96,65.17
2023042348,女,大数据管理,24.28,0.86,47.9,0.88,63.65
2023042349,男,电子商务,24.63,0.84,62.94,0.79,74.19
2023042350,女,电子商务,22.22,0.91,77.77,0.82,77.29
2023042351,男,工商管理,12.85,1.0,88.3,0.89,85.75
2023042352,女,财务管理,26.54,0.87,79.97,0.72,68.53
2023042353,男,财务管理,26.25,0.88,61.17,0.77,71.25
2023042354,女,工商管理,5.0,0.63,100.0,0.7,75.0
2023042355,女,电子商务,23.5,0.78,84.99,0.96,89.67
2023042356,女,电子商务,22.76,0.95,80.18,0.93,79.86
2023042357,女,工商管理,17.29,0.93,60.65,0.74,63.26
2023042358,男,人工智能,32.78,0.83,66.93,0.88,71.8
2023042359,女,人工智能,24.45,0.71,53.93,0.84,73.69
2023042360,女,人工智能,33.81,0.9,83.11,0.75,67.7
2023042361,女,电子商务,11.86,0.61,62.86,0.96,65.39
2023042362,女,大数据管理,8.12,0.82,90.33,0.8,73.33
2023042363,女,大数据管理,25.61,0.79,65.07,0.89,69.23
2023042364,女,电子商务,10.95,0.89,84.3,0.94,72.18
2023042365,女,财务管理,11.32,0.67,100.0,0.9,78.82
2023042366,女,大数据管理,24.17,0.73,68.42,0.83,73.34
2023042367,男,财务管理,29.25,0.73,61.62,0.94,64.89
2023042368,女,大数据管理,26.13,0.89,63.05,0.88,72.17
2023042369,男,人工智能,22.59,0.96,57.82,0.81,69.36
2023042370,男,工商管理,19.6,0.74,55.38,0.75,52.12
2023042371,男,工商管理,30.07,0.86,88.71,0.89,89.07
2023042372,男,工商管理,34.17,0.76,51.29,0.84,69.1
2023042373,男,工商管理,22.49,0.92,47.23,0.82,54.78
2023042374,男,大数据管理,5.0,0.79,85.66,1.0,60.8
2023042375,男,大数据管理,20.15,0.8,44.69,0.72,48.76
2023042376,女,电子商务,12.08,0.94,80.71,0.77,73.14
2023042377,女,财务管理,16.41,0.79,71.83,0.75,66.51
2023042378,女,大数据管理,31.37,0.84,57.57,0.78,78.31
2023042379,女,电子商务,15.67,0.79,62.52,0.81,60.07
2023042380,男,大数据管理,18.05,0.92,95.72,0.92,77.25
2023042381,男,人工智能,12.26,0.7,67.04,0.96,70.35
2023042382,女,大数据管理,19.36,0.85,73.25,0.94,65.14
2023042383,女,工商管理,21.39,0.79,85.63,0.78,70.8
2023042384,女,大数据管理,14.25,0.65,90.78,0.96,70.13
2023042385,女,电子商务,15.58,0.76,54.6,0.73,32.05
2023042386,男,大数据管理,17.89,0.64,63.62,0.98,69.62
2023042387,男,工商管理,29.51,0.81,48.54,0.95,71.99
2023042388,女,人工智能,19.47,0.61,95.36,0.76,85.39
2023042389,女,财务管理,21.03,0.89,79.87,1.0,93.67
2023042390,女,电子商务,14.46,0.8,70.62,0.78,79.12
2023042391,女,大数据管理,7.46,0.73,57.65,0.8,52.4
2023042392,男,工商管理,7.27,0.95,79.99,0.7,78.68
2023042393,男,大数据管理,9.71,0.73,58.87,0.77,55.94
2023042394,女,财务管理,40.0,0.8,68.99,0.97,78.41
2023042395,男,财务管理,7.99,0.63,89.48,0.73,64.48
2023042396,男,人工智能,14.12,0.72,69.43,0.8,62.34
2023042397,女,财务管理,22.86,0.92,100.0,0.8,89.81
2023042398,男,电子商务,13.49,0.74,74.54,0.94,82.99
2023042399,男,电子商务,26.01,0.71,63.17,0.75,71.83
2023042400,女,工商管理,22.45,0.92,71.78,0.91,68.6
2023042401,女,工商管理,12.47,0.64,68.58,0.96,55.32
2023042402,男,电子商务,28.21,0.97,95.45,1.0,95.42
2023042403,男,人工智能,31.76,0.76,69.95,1.0,83.3
2023042404,女,财务管理,16.09,0.67,56.11,0.78,68.26
2023042405,男,财务管理,18.65,0.68,62.63,0.78,60.36
2023042406,男,工商管理,9.35,0.72,77.34,0.79,70.19
2023042407,男,电子商务,19.14,0.94,96.4,0.9,92.4
2023042408,男,大数据管理,29.25,0.94,86.58,0.9,75.97
2023042409,男,人工智能,14.12,0.89,54.51,0.86,62.85
2023042410,男,工商管理,24.89,0.77,63.94,0.91,76.38
2023042411,男,电子商务,12.19,0.61,61.41,0.88,63.74
2023042412,男,人工智能,12.64,0.97,87.41,0.9,77.41
2023042413,男,工商管理,26.16,0.66,55.85,0.83,80.85
2023042414,女,工商管理,5.0,0.77,76.39,0.77,82.24
2023042415,男,人工智能,5.0,0.73,56.12,0.97,56.27
2023042416,女,财务管理,33.27,0.75,80.32,0.9,80.28
2023042417,男,财务管理,12.16,0.7,95.46,0.76,81.84
2023042418,男,工商管理,22.19,0.69,100.0,0.88,84.2
2023042419,女,工商管理,24.6,0.65,90.82,0.8,89.06
2023042420,男,人工智能,19.09,0.68,84.76,0.95,66.12
2023042421,男,大数据管理,21.81,0.82,81.21,0.96,76.35
2023042422,男,工商管理,22.63,0.69,90.87,0.96,86.78
2023042423,男,电子商务,18.59,0.89,73.88,0.97,82.36
2023042424,女,财务管理,23.35,0.93,83.86,0.72,66.94
2023042425,男,人工智能,30.67,0.96,65.5,0.93,69.82
2023042426,女,电子商务,23.22,0.6,58.72,0.76,48.53
2023042427,男,大数据管理,16.6,0.9,96.05,0.71,73.32
2023042428,女,人工智能,16.1,0.66,52.67,0.9,47.2
2023042429,女,人工智能,8.57,0.92,68.24,0.99,72.02
2023042430,女,电子商务,35.71,0.69,38.79,0.89,62.52
2023042431,女,电子商务,8.84,0.74,75.11,0.96,66.04
2023042432,女,电子商务,21.55,0.77,92.07,0.97,83.11
2023042433,女,工商管理,22.88,0.93,82.72,0.9,89.47
2023042434,男,财务管理,22.57,0.6,87.54,0.79,67.88
2023042435,女,财务管理,14.08,0.87,68.61,0.77,49.42
2023042436,男,人工智能,28.2,0.98,62.0,0.73,75.91
2023042437,女,工商管理,21.12,0.87,89.09,0.79,76.81
2023042438,男,电子商务,29.54,0.65,64.05,0.86,62.27
2023042439,女,财务管理,30.94,0.77,83.06,0.91,86.0
2023042440,男,大数据管理,33.34,0.72,64.92,0.92,60.62
2023042441,男,电子商务,21.16,0.79,86.5,0.82,71.25
2023042442,女,财务管理,15.28,0.93,56.74,0.94,43.81
2023042443,女,工商管理,24.52,0.95,76.54,0.78,78.47
2023042444,男,电子商务,19.66,0.99,88.22,0.8,93.43
2023042445,女,财务管理,24.52,0.85,96.16,0.89,82.1
2023042446,男,财务管理,25.62,0.67,77.33,0.73,66.58
2023042447,女,大数据管理,19.91,0.91,96.75,0.82,98.61
2023042448,女,人工智能,19.42,0.85,67.41,0.97,75.79
2023042449,女,财务管理,22.02,0.79,58.06,0.89,83.06
2023042450,男,大数据管理,20.53,0.8,63.56,0.86,68.21
2023042451,男,财务管理,15.06,0.86,100.0,0.88,85.52
2023042452,女,财务管理,26.0,0.96,85.9,0.93,94.98
2023042453,男,工商管理,33.35,0.77,61.51,0.95,72.11
2023042454,女,财务管理,23.66,0.71,48.48,0.83,60.93
2023042455,男,人工智能,23.44,0.89,69.55,0.76,52.75
2023042456,男,人工智能,19.04,0.84,79.77,1.0,91.04
2023042457,男,大数据管理,5.62,0.67,93.31,0.72,73.91
2023042458,女,工商管理,15.16,0.8,100.0,0.87,81.62
2023042459,男,人工智能,17.3,0.67,76.88,0.72,75.48
2023042460,女,大数据管理,28.07,0.71,63.38,0.86,60.66
2023042461,女,人工智能,22.01,0.81,91.51,0.76,76.02
2023042462,男,财务管理,14.4,0.84,98.3,0.76,85.01
2023042463,女,工商管理,23.64,0.75,80.21,0.72,74.3
2023042464,男,大数据管理,17.36,0.84,47.18,0.89,62.02
2023042465,女,大数据管理,18.01,0.8,70.54,0.87,71.38
2023042466,男,电子商务,33.26,0.71,77.57,0.82,82.6
2023042467,男,大数据管理,17.69,0.9,70.06,0.8,58.59
2023042468,男,工商管理,15.18,0.85,100.0,0.93,95.23
2023042469,女,财务管理,26.74,0.89,71.65,0.84,71.6
2023042470,男,财务管理,25.72,0.64,73.68,0.81,71.94
2023042471,女,工商管理,20.96,0.88,76.47,0.77,68.69
2023042472,男,人工智能,17.67,0.8,95.33,0.72,76.82
2023042473,男,电子商务,22.13,0.78,69.17,0.77,70.59
2023042474,男,大数据管理,26.6,0.9,58.17,0.97,75.86
2023042475,男,大数据管理,24.85,0.81,100.0,0.93,95.29
2023042476,女,大数据管理,14.82,0.89,97.44,0.95,87.42
2023042477,男,财务管理,20.17,0.95,64.35,0.93,65.7
2023042478,女,财务管理,20.88,0.73,83.62,0.71,76.79
2023042479,女,财务管理,21.65,0.96,98.33,0.75,87.58
2023042480,男,大数据管理,10.0,0.94,86.96,0.99,78.0
2023042481,女,人工智能,14.92,0.96,68.08,0.91,74.14
2023042482,女,电子商务,14.57,1.0,71.96,0.88,60.45
2023042483,男,财务管理,8.09,0.73,83.83,0.77,58.83
2023042484,女,工商管理,26.46,0.86,74.33,0.83,84.45
2023042485,男,工商管理,20.18,0.62,70.2,0.9,66.94
2023042486,女,人工智能,17.24,0.95,49.45,0.85,63.77
2023042487,男,人工智能,9.33,0.91,66.62,0.93,57.65
2023042488,男,财务管理,18.7,0.86,84.04,0.71,85.31
2023042489,男,工商管理,12.97,0.63,85.45,0.76,73.09
2023042490,女,工商管理,33.88,0.9,58.84,0.95,72.89
2023042491,男,人工智能,10.02,0.75,50.43,0.84,56.76
2023042492,男,人工智能,12.8,0.8,79.1,0.74,54.1
2023042493,女,大数据管理,23.75,0.6,97.78,0.77,84.23
2023042494,男,工商管理,35.49,0.74,69.29,0.97,87.55
2023042495,女,财务管理,39.98,0.89,94.42,0.96,96.86
2023042496,女,财务管理,19.25,0.79,100.0,0.95,87.21
2023042497,男,人工智能,18.49,1.0,80.96,1.0,77.04
2023042498,女,工商管理,17.66,0.75,67.32,0.97,77.15
2023042499,男,大数据管理,5.0,0.87,78.43,0.81,78.62
2023042500,男,人工智能,17.48,0.99,59.99,0.87,63.13
2023042501,女,大数据管理,5.0,0.95,80.23,0.91,73.92
2023042502,男,大数据管理,21.01,0.66,76.57,0.92,74.3
2023042503,女,工商管理,25.56,0.67,73.03,0.86,75.31
2023042504,男,大数据管理,17.51,0.74,61.81,0.98,59.08
2023042505,男,大数据管理,20.7,0.94,95.34,0.7,91.8
2023042506,男,工商管理,7.25,0.99,62.64,0.75,66.35
2023042507,女,人工智能,31.4,0.63,71.98,0.83,81.79
2023042508,男,工商管理,19.72,0.73,70.84,0.82,59.5
2023042509,男,电子商务,5.0,0.68,65.28,0.99,50.2
2023042510,男,人工智能,16.96,0.82,79.86,0.75,88.95
2023042511,女,工商管理,10.14,0.61,50.3,0.91,63.23
2023042512,女,人工智能,13.34,0.98,100.0,0.99,79.24
2023042513,男,工商管理,30.85,0.92,62.66,0.86,79.41
2023042514,男,电子商务,20.96,0.66,59.05,0.92,60.12
2023042515,男,财务管理,16.98,0.73,66.55,0.84,51.28
2023042516,男,财务管理,21.17,0.87,82.66,0.97,63.03
2023042517,男,大数据管理,20.22,0.92,100.0,0.75,85.05
2023042518,女,财务管理,15.03,0.63,85.91,0.72,83.9
2023042519,男,大数据管理,16.87,0.72,83.83,0.88,87.0
2023042520,女,电子商务,12.5,0.76,81.7,0.8,81.65
2023042521,女,大数据管理,16.45,0.8,65.76,0.99,75.0
2023042522,男,财务管理,20.37,0.67,55.6,1.0,65.56
2023042523,女,人工智能,19.43,0.92,86.58,0.89,89.41
2023042524,男,财务管理,14.59,0.8,56.02,0.91,43.85
2023042525,男,大数据管理,13.85,0.81,85.31,0.76,81.73
2023042526,女,财务管理,21.8,0.68,71.25,0.89,61.34
2023042527,男,大数据管理,9.52,0.88,79.12,0.83,61.63
2023042528,女,电子商务,18.0,0.95,81.52,0.97,84.19
2023042529,男,工商管理,11.17,0.81,65.75,0.9,72.36
2023042530,女,电子商务,25.81,0.62,53.28,0.88,57.67
2023042531,男,工商管理,34.01,0.9,71.79,0.76,82.09
2023042532,男,工商管理,18.33,0.67,57.86,0.97,67.34
2023042533,男,人工智能,20.57,1.0,66.97,0.79,68.09
2023042534,女,电子商务,14.13,0.6,73.4,0.9,67.63
2023042535,女,财务管理,16.3,0.68,96.17,0.96,98.29
2023042536,女,电子商务,24.4,0.86,50.41,0.89,61.61
2023042537,男,大数据管理,30.34,0.88,81.49,0.79,79.19
2023042538,女,工商管理,21.57,0.92,58.78,0.81,67.37
2023042539,男,工商管理,24.8,0.72,85.3,0.99,79.21
2023042540,男,大数据管理,35.96,0.94,90.88,0.95,96.86
2023042541,男,财务管理,18.53,0.87,63.92,0.99,80.96
2023042542,男,财务管理,10.96,0.86,65.73,0.73,60.0
2023042543,女,人工智能,5.0,0.78,93.31,0.94,68.31
2023042544,男,工商管理,18.11,0.9,75.81,0.97,91.22
2023042545,男,大数据管理,23.6,0.91,80.8,0.77,78.34
2023042546,女,工商管理,7.93,0.92,67.79,0.79,47.84
2023042547,男,工商管理,33.67,0.73,71.19,0.94,89.76
2023042548,女,大数据管理,15.77,0.67,62.91,0.78,70.59
2023042549,男,工商管理,23.67,0.69,82.91,0.82,88.12
2023042550,男,财务管理,24.27,0.88,86.41,0.75,90.54
2023042551,男,电子商务,19.08,0.76,65.41,0.93,88.88
2023042552,男,大数据管理,24.01,0.9,66.79,0.79,62.92
2023042553,女,大数据管理,17.98,0.81,74.26,0.7,62.23
2023042554,女,财务管理,22.55,0.84,89.7,0.71,75.5
2023042555,女,电子商务,23.17,0.96,57.56,0.81,62.91
2023042556,男,人工智能,26.33,0.66,58.59,0.96,67.67
2023042557,女,财务管理,18.41,0.79,61.1,0.85,60.29
2023042558,女,电子商务,13.76,0.74,94.92,0.73,69.92
2023042559,女,大数据管理,18.13,0.94,58.18,0.71,55.67
2023042560,女,大数据管理,18.58,0.66,48.97,0.83,53.83
2023042561,女,财务管理,17.28,0.96,100.0,0.81,94.64
2023042562,女,工商管理,9.53,0.98,51.39,0.98,54.63
2023042563,女,人工智能,5.0,0.98,87.37,0.92,82.35
2023042564,女,工商管理,5.0,0.73,58.8,0.8,42.31
2023042565,男,人工智能,30.24,0.99,84.73,0.87,63.03
2023042566,女,大数据管理,21.88,0.98,72.26,0.71,71.43
2023042567,男,电子商务,5.0,0.74,82.33,0.72,59.78
2023042568,男,财务管理,34.08,0.91,69.0,0.74,70.39
2023042569,女,财务管理,33.4,0.69,99.65,0.78,81.96
2023042570,男,电子商务,30.84,0.82,86.47,0.8,78.15
2023042571,女,工商管理,16.14,0.6,78.17,0.81,59.97
2023042572,女,人工智能,18.73,0.9,67.02,0.92,63.0
2023042573,男,人工智能,24.37,0.69,61.72,0.91,56.82
2023042574,女,财务管理,15.55,0.72,66.3,0.93,47.63
2023042575,女,电子商务,26.05,0.68,69.15,0.97,55.94
2023042576,男,工商管理,22.54,0.98,76.88,0.87,96.43
2023042577,男,电子商务,25.2,0.77,80.14,0.87,76.73
2023042578,男,大数据管理,29.13,0.91,49.77,0.98,74.77
2023042579,男,人工智能,18.78,0.73,66.28,0.84,64.56
2023042580,男,财务管理,5.51,0.75,54.4,0.98,54.61
2023042581,女,电子商务,16.91,0.89,93.07,0.75,82.17
2023042582,男,电子商务,25.77,0.86,69.41,0.96,79.67
2023042583,女,财务管理,22.34,0.76,69.86,0.98,62.57
2023042584,女,电子商务,15.03,0.7,72.52,0.75,62.32
2023042585,女,大数据管理,5.0,0.97,63.14,0.81,63.6
2023042586,男,大数据管理,16.48,0.72,72.15,0.98,53.62
2023042587,男,人工智能,21.18,0.8,84.94,0.91,89.01
2023042588,女,财务管理,14.25,0.67,100.0,0.9,89.82
2023042589,女,大数据管理,21.88,0.63,70.44,0.99,54.13
2023042590,男,大数据管理,17.52,0.74,57.83,0.7,52.11
2023042591,男,财务管理,24.95,0.67,47.69,0.77,58.81
2023042592,男,人工智能,34.55,0.68,56.7,0.86,74.29
2023042593,男,大数据管理,11.99,0.72,97.8,0.87,92.22
2023042594,男,人工智能,38.93,0.67,78.52,0.87,78.0
2023042595,男,大数据管理,18.67,0.76,91.63,0.79,97.32
2023042596,男,财务管理,11.56,0.89,65.79,0.83,63.99
2023042597,女,大数据管理,23.06,0.86,64.08,0.87,67.75
2023042598,男,工商管理,28.59,0.84,94.53,0.74,89.26
2023042599,男,大数据管理,34.93,0.73,75.28,0.88,81.29
2023042600,女,大数据管理,29.02,1.0,66.84,0.75,75.97
2023042601,男,财务管理,30.29,0.79,58.22,0.89,83.22
2023042602,女,工商管理,25.41,1.0,87.72,0.99,88.25
2023042603,女,电子商务,20.93,0.92,89.51,0.93,75.23
2023042604,女,工商管理,7.64,0.64,72.35,0.74,52.92
2023042605,男,大数据管理,17.06,0.88,78.18,0.75,84.26
2023042606,男,工商管理,20.24,0.89,77.03,0.81,79.59
2023042607,男,财务管理,25.86,0.95,69.29,0.8,62.4
2023042608,女,人工智能,11.45,0.78,67.28,0.88,49.94
2023042609,女,财务管理,17.28,0.66,88.19,0.94,76.9
2023042610,男,人工智能,17.08,0.74,73.29,0.86,74.18
2023042611,女,财务管理,6.19,0.62,61.5,0.84,49.51
2023042612,女,工商管理,20.89,0.69,75.59,0.81,57.44
2023042613,男,财务管理,16.95,0.92,38.93,0.81,44.57
2023042614,男,财务管理,21.12,0.92,100.0,0.85,100.0
2023042615,女,工商管理,20.15,1.0,84.9,0.81,83.62
2023042616,男,大数据管理,21.91,0.79,95.22,0.93,92.22
2023042617,男,大数据管理,15.2,0.86,63.53,0.79,74.05
2023042618,男,工商管理,5.0,0.67,83.81,0.81,60.63
2023042619,女,电子商务,18.34,0.65,60.21,0.79,57.78
2023042620,女,财务管理,21.08,0.65,77.8,0.87,70.86
2023042621,女,大数据管理,18.7,0.82,74.19,0.75,73.3
2023042622,男,大数据管理,26.93,0.69,59.15,0.82,73.6
2023042623,男,财务管理,5.0,0.78,100.0,0.74,93.1
2023042624,女,人工智能,16.09,0.86,74.86,0.91,78.9
2023042625,女,大数据管理,5.0,0.92,80.46,0.79,76.21
2023042626,女,电子商务,11.69,0.96,85.69,0.76,91.53
2023042627,女,财务管理,11.12,0.82,66.0,0.96,63.51
2023042628,女,人工智能,25.18,0.84,65.48,0.88,80.14
2023042629,男,工商管理,25.39,0.64,83.48,0.86,81.17
2023042630,女,工商管理,26.18,0.64,59.33,0.86,69.75
2023042631,女,人工智能,15.05,0.82,100.0,0.92,81.84
2023042632,男,电子商务,21.02,0.79,85.91,0.94,68.4
2023042633,男,工商管理,29.81,0.97,73.04,0.75,79.74
2023042634,女,大数据管理,26.49,0.68,40.02,0.91,59.59
2023042635,男,大数据管理,14.88,0.6,98.66,0.97,75.52
2023042636,女,财务管理,15.75,0.71,86.85,0.74,72.24
2023042637,女,人工智能,22.96,0.82,65.95,0.77,61.52
2023042638,女,电子商务,40.0,0.79,68.01,0.81,72.7
2023042639,女,电子商务,15.6,0.93,67.5,0.95,65.73
2023042640,女,财务管理,28.22,0.86,68.64,0.81,63.93
2023042641,男,工商管理,8.6,0.76,91.53,0.94,70.21
2023042642,女,大数据管理,14.4,0.79,78.98,0.92,78.38
2023042643,男,大数据管理,10.13,0.86,80.69,0.76,82.84
2023042644,女,工商管理,5.0,0.93,65.28,0.74,79.92
2023042645,男,财务管理,20.65,0.94,57.7,0.89,63.36
2023042646,男,大数据管理,7.26,0.73,62.01,0.89,70.01
2023042647,女,人工智能,17.18,0.98,63.67,0.81,70.15
2023042648,男,工商管理,17.22,0.64,66.61,0.78,61.25
2023042649,男,人工智能,17.87,0.83,70.33,0.77,71.51
2023042650,男,电子商务,11.18,0.92,77.29,0.92,81.59
2023042651,男,财务管理,7.04,0.61,52.68,0.74,45.44
2023042652,男,电子商务,20.39,0.72,74.34,0.92,67.82
2023042653,男,人工智能,32.42,0.95,72.64,0.71,74.67
2023042654,男,电子商务,18.41,0.88,91.06,0.7,73.41
2023042655,男,财务管理,18.53,0.98,73.1,0.97,84.8
2023042656,女,财务管理,6.25,0.98,61.8,0.95,55.84
2023042657,女,工商管理,13.99,0.63,78.48,0.79,62.58
2023042658,女,人工智能,28.81,0.81,75.0,0.87,79.34
2023042659,男,工商管理,25.73,0.91,68.71,0.86,75.55
2023042660,男,财务管理,14.9,0.65,83.92,0.86,68.59
2023042661,男,大数据管理,35.02,0.91,62.49,0.77,84.82
2023042662,男,电子商务,38.26,0.65,96.56,0.76,84.63
2023042663,男,大数据管理,16.53,0.79,68.67,0.71,63.74
2023042664,女,人工智能,29.08,0.72,83.41,0.84,65.99
2023042665,男,人工智能,27.03,0.93,77.37,0.9,77.4
2023042666,女,财务管理,21.53,0.72,64.48,0.8,55.4
2023042667,男,工商管理,13.5,0.66,97.76,0.91,72.76
2023042668,男,电子商务,24.9,0.81,64.69,0.87,55.29
2023042669,男,电子商务,17.71,0.9,100.0,0.82,77.24
2023042670,女,电子商务,40.0,0.86,62.89,0.92,77.76
2023042671,女,大数据管理,25.8,0.83,61.72,0.71,65.06
2023042672,男,电子商务,19.5,0.83,100.0,0.9,82.4
2023042673,女,工商管理,12.08,0.88,48.71,0.8,52.71
2023042674,女,财务管理,29.24,0.84,51.39,0.99,64.3
2023042675,男,财务管理,39.4,0.64,90.5,0.83,86.82
2023042676,女,工商管理,26.8,0.94,64.8,0.74,70.08
2023042677,男,大数据管理,22.7,0.78,59.55,0.8,66.97
2023042678,女,大数据管理,34.12,0.62,67.75,0.9,72.44
2023042679,女,财务管理,33.05,0.64,76.48,0.77,73.0
2023042680,男,财务管理,23.17,0.89,80.03,0.81,83.13
2023042681,女,电子商务,18.18,0.84,68.19,0.94,74.88
2023042682,女,大数据管理,12.38,0.88,58.42,0.8,60.39
2023042683,男,工商管理,24.16,0.88,73.67,0.86,84.14
2023042684,男,财务管理,14.01,0.72,74.3,0.82,67.89
2023042685,男,工商管理,29.58,0.75,93.08,0.83,83.9
2023042686,男,电子商务,20.21,0.96,79.51,0.78,75.38
2023042687,女,电子商务,22.17,0.93,62.07,0.82,69.6
2023042688,男,大数据管理,22.19,0.64,78.66,0.76,64.2
2023042689,男,电子商务,32.54,0.63,56.19,0.8,53.14
2023042690,女,电子商务,19.09,0.86,72.14,0.87,73.83
2023042691,女,电子商务,23.14,0.76,70.32,0.81,76.67
2023042692,男,大数据管理,14.81,0.89,45.07,0.98,49.38
2023042693,男,大数据管理,15.57,0.74,63.22,0.81,71.7
2023042694,女,大数据管理,24.45,0.99,63.85,0.74,57.7
2023042695,男,大数据管理,15.09,0.89,58.14,0.91,58.88
2023042696,男,财务管理,15.62,0.68,85.89,0.71,85.9
2023042697,女,电子商务,16.27,0.73,63.73,0.8,65.91
2023042698,男,工商管理,25.64,0.73,93.14,0.93,82.11
2023042699,女,财务管理,22.7,0.82,69.52,1.0,75.43
2023042700,女,电子商务,8.79,0.84,71.76,0.8,75.83
2023042701,女,电子商务,27.59,0.9,70.32,0.78,63.65
2023042702,男,财务管理,17.7,0.9,90.77,0.73,89.49
2023042703,女,大数据管理,40.0,0.68,93.84,0.95,88.4
2023042704,男,大数据管理,23.96,0.69,76.85,0.78,77.85
2023042705,女,大数据管理,25.51,0.66,54.01,0.72,55.93
2023042706,女,人工智能,24.75,0.87,81.74,0.76,90.24
2023042707,女,财务管理,12.37,0.89,86.73,0.85,75.28
2023042708,女,工商管理,7.04,0.81,81.05,0.96,58.23
2023042709,男,工商管理,27.48,0.95,98.7,0.95,95.05
2023042710,男,财务管理,23.05,0.68,93.03,0.99,93.16
2023042711,男,大数据管理,14.8,0.79,87.77,0.8,85.36
2023042712,女,人工智能,26.08,0.83,73.08,0.83,75.3
2023042713,女,工商管理,17.03,0.69,69.95,0.86,73.45
2023042714,女,大数据管理,16.67,0.62,51.02,0.91,53.35
2023042715,男,人工智能,25.54,0.77,34.86,0.83,58.57
2023042716,男,工商管理,25.38,0.71,69.72,0.97,75.43
2023042717,女,财务管理,29.2,0.79,88.3,0.79,63.3
2023042718,女,大数据管理,23.59,0.72,75.66,0.89,66.09
2023042719,女,工商管理,28.69,0.94,67.92,0.85,76.62
2023042720,女,工商管理,10.39,0.88,100.0,0.89,83.25
2023042721,女,人工智能,16.02,0.88,58.94,0.79,62.36
2023042722,女,财务管理,5.0,0.88,83.12,0.78,69.93
2023042723,男,电子商务,26.6,0.8,88.93,0.83,91.12
2023042724,女,大数据管理,36.71,0.92,86.19,0.98,92.18
2023042725,女,工商管理,18.06,0.71,95.86,1.0,70.86
2023042726,男,电子商务,27.56,0.82,68.35,0.73,85.3
2023042727,男,人工智能,24.88,0.91,75.42,0.7,59.97
2023042728,女,工商管理,14.73,0.68,62.21,0.75,68.06
2023042729,男,财务管理,24.12,0.67,72.57,0.75,57.68
2023042730,男,工商管理,14.07,0.71,80.9,0.9,83.93
2023042731,女,大数据管理,23.42,0.93,88.75,0.85,80.73
2023042732,女,人工智能,15.19,0.9,80.9,0.91,78.45
2023042733,女,财务管理,29.89,0.81,81.23,0.76,65.12
2023042734,男,工商管理,38.73,0.66,66.1,0.78,78.41
2023042735,女,财务管理,24.11,0.63,48.1,0.71,59.4
2023042736,女,人工智能,22.28,0.87,93.0,0.93,89.57
2023042737,女,电子商务,6.44,0.68,70.76,0.78,69.43
2023042738,女,工商管理,29.02,0.63,100.0,0.88,88.47
2023042739,女,工商管理,10.51,0.84,72.89,0.79,64.19
2023042740,男,大数据管理,19.95,0.94,100.0,0.82,80.01
2023042741,女,人工智能,21.52,0.85,87.34,0.82,75.93
2023042742,男,大数据管理,11.42,0.7,93.05,0.82,85.74
2023042743,男,财务管理,21.72,0.88,90.51,0.9,76.34
2023042744,男,财务管理,20.62,0.64,100.0,0.95,75.0
2023042745,男,工商管理,26.5,0.65,47.55,0.99,54.38
2023042746,男,大数据管理,19.9,0.89,75.75,0.95,80.16
2023042747,男,大数据管理,26.27,0.96,71.83,0.94,75.25
2023042748,女,人工智能,11.79,0.83,93.05,0.93,84.18
2023042749,男,大数据管理,32.19,0.63,83.2,0.94,67.72
2023042750,男,人工智能,16.89,0.94,88.46,0.94,63.46
2023042751,男,大数据管理,24.99,0.79,100.0,0.75,87.59
2023042752,男,财务管理,15.43,0.88,68.59,0.77,75.21
2023042753,男,人工智能,17.29,0.83,100.0,0.99,75.0
2023042754,女,人工智能,14.98,0.62,57.92,0.72,61.11
2023042755,女,工商管理,22.47,0.93,45.09,0.89,70.09
2023042756,男,财务管理,22.61,0.65,49.72,0.88,59.13
2023042757,男,人工智能,25.92,0.89,65.89,0.74,77.15
2023042758,女,财务管理,20.83,0.83,74.4,0.77,73.01
2023042759,女,工商管理,27.17,0.67,66.94,0.87,68.32
2023042760,女,大数据管理,17.36,0.74,95.06,0.7,84.65
2023042761,女,财务管理,16.6,0.75,60.33,0.85,78.33
2023042762,男,财务管理,13.93,0.7,77.11,0.71,61.84
2023042763,女,大数据管理,9.41,0.93,83.54,0.91,73.22
2023042764,女,工商管理,18.17,0.61,68.03,0.91,57.83
2023042765,男,工商管理,17.82,0.69,58.75,0.72,60.71
2023042766,女,电子商务,13.2,0.63,68.35,0.98,63.48
2023042767,女,财务管理,36.4,0.83,49.58,0.96,74.58
2023042768,男,财务管理,17.77,0.83,82.55,0.83,86.74
2023042769,女,大数据管理,8.29,0.8,97.83,0.75,83.59
2023042770,男,大数据管理,18.98,0.71,64.85,0.88,74.33
2023042771,女,大数据管理,30.18,0.78,62.67,0.75,64.41
2023042772,男,电子商务,18.46,0.93,81.92,0.74,67.4
2023042773,男,电子商务,21.79,0.73,83.85,0.92,80.92
2023042774,男,人工智能,29.87,0.69,79.1,0.99,79.72
2023042775,女,人工智能,21.78,0.78,70.98,0.77,85.3
2023042776,男,工商管理,25.4,0.86,52.59,0.94,51.66
2023042777,女,财务管理,9.89,0.72,51.47,0.94,61.11
